225-237  E13.8  W.sr-1.m-3 za60_pwv3.0 [0.0/344254.35] Description of
                                  za60_pwv3.0
--------------------------------------------------------------------------------
Notes:
--------------------------------------------------------------------------------
3.2077790e-07 3.0758104e-58 3.0760066e-58 3.0763965e-58 3.0767853e-58 3.5400434e-58 3.5402659e-58 3.5407125e-58 3.5411564e-58 4.3120012e-58 4.3122700e-58 4.3128051e-58 4.3133355e-58 6.0237042e-58 6.0240666e-58 6.0247918e-58 6.0255117e-58
3.2109868e-07 2.9957423e-58 2.9959623e-58 2.9964000e-58 2.9968360e-58 3.4479914e-58 3.4482414e-58 3.4487431e-58 3.4492414e-58 4.2000785e-58 4.2003809e-58 4.2009834e-58 4.2015804e-58 5.8679726e-58 5.8683824e-58 5.8692026e-58 5.8700163e-58
3.2141978e-07 3.3948339e-58 3.3953660e-58 3.3964293e-58 3.3974841e-58 3.9073738e-58 3.9079826e-58 3.9092042e-58 3.9104142e-58 4.7597490e-58 4.7604882e-58 4.7619666e-58 4.7634294e-58 6.6501632e-58 6.6511817e-58 6.6532230e-58 6.6552439e-58
3.2174120e-07 3.8967284e-58 3.8970447e-58 3.8976745e-58 3.8983014e-58 4.4850932e-58 4.4854531e-58 4.4861753e-58 4.4868923e-58 5.4635980e-58 5.4640337e-58 5.4649024e-58 5.4657629e-58 7.6338780e-58 7.6344703e-58 7.6356562e-58 7.6368322e-58
3.2206294e-07 6.0048126e-58 6.0052670e-58 6.0061714e-58 6.0070720e-58 6.9113303e-58 6.9118469e-58 6.9128836e-58 6.9139132e-58 8.4188760e-58 8.4195011e-58 8.4207469e-58 8.4219811e-58 1.1762217e-57 1.1763065e-57 1.1764763e-57 1.1766446e-57
3.2238500e-07 6.7322011e-58 6.7327364e-58 6.7338020e-58 6.7348628e-58 7.7486465e-58 7.7492554e-58 7.7504773e-58 7.7516904e-58 9.4390698e-58 9.4398068e-58 9.4412761e-58 9.4427317e-58 1.3188283e-57 1.3189285e-57 1.3191290e-57 1.3193278e-57
3.2270739e-07 8.1982516e-58 8.1988721e-58 8.2001072e-58 8.2013371e-58 9.4360922e-58 9.4367977e-58 9.4382136e-58 9.4396197e-58 1.1494742e-57 1.1495596e-57 1.1497297e-57 1.1498983e-57 1.6060790e-57 1.6061949e-57 1.6064268e-57 1.6066569e-57
3.2303010e-07 8.2473064e-58 8.2478522e-58 8.2489372e-58 8.2500189e-58 9.4928027e-58 9.4934222e-58 9.4946654e-58 9.4959009e-58 1.1564325e-57 1.1565073e-57 1.1566565e-57 1.1568043e-57 1.6159540e-57 1.6160552e-57 1.6162577e-57 1.6164587e-57
3.2335313e-07 7.3760661e-58 7.3765767e-58 7.3775922e-58 7.3786042e-58 8.4902894e-58 8.4908694e-58 8.4920333e-58 8.4931896e-58 1.0343645e-57 1.0344347e-57 1.0345744e-57 1.0347129e-57 1.4455650e-57 1.4456600e-57 1.4458501e-57 1.4460387e-57
3.2367648e-07 6.9219925e-58 6.9225007e-58 6.9235117e-58 6.9245188e-58 7.9678415e-58 7.9684191e-58 7.9695782e-58 7.9707296e-58 9.7075895e-58 9.7082886e-58 9.7096815e-58 9.7110616e-58 1.3568081e-57 1.3569030e-57 1.3570928e-57 1.3572812e-57
3.2400016e-07 7.3270951e-58 7.3275366e-58 7.3284135e-58 7.3292884e-58 8.4342847e-58 8.4347853e-58 8.4357897e-58 8.4367885e-58 1.0276149e-57 1.0276754e-57 1.0277957e-57 1.0279150e-57 1.4363579e-57 1.4364394e-57 1.4366025e-57 1.4367645e-57
3.2432416e-07 9.6195073e-58 9.6200659e-58 9.6211747e-58 9.6222816e-58 1.1073082e-57 1.1073715e-57 1.1074985e-57 1.1076248e-57 1.3491169e-57 1.3491933e-57 1.3493454e-57 1.3494961e-57 1.8857319e-57 1.8858348e-57 1.8860406e-57 1.8862451e-57
3.2464848e-07 1.1899352e-57 1.1900014e-57 1.1901325e-57 1.1902635e-57 1.3697485e-57 1.3698233e-57 1.3699735e-57 1.3701230e-57 1.6688793e-57 1.6689697e-57 1.6691494e-57 1.6693277e-57 2.3327192e-57 2.3328407e-57 2.3330836e-57 2.3333249e-57
3.2497313e-07 1.9052945e-57 1.9053938e-57 1.9055906e-57 1.9057872e-57 2.1931668e-57 2.1932791e-57 2.1935043e-57 2.1937285e-57 2.6720400e-57 2.6721754e-57 2.6724446e-57 2.6727115e-57 3.7346791e-57 3.7348606e-57 3.7352235e-57 3.7355842e-57
3.2529810e-07 1.8491419e-57 1.8492361e-57 1.8494230e-57 1.8496098e-57 2.1285862e-57 2.1286928e-57 2.1289067e-57 2.1291196e-57 2.5934709e-57 2.5935995e-57 2.5938550e-57 2.5941085e-57 3.6252078e-57 3.6253800e-57 3.6257243e-57 3.6260666e-57
